path,class_name,split
Apple_Black_rot/image (1).JPG,Apple_Black_rot,train
Apple_Black_rot/image (10).JPG,Apple_Black_rot,train
Apple_Black_rot/image (100).JPG,Apple_Black_rot,train
Apple_Black_rot/image (101).JPG,Apple_Black_rot,train
Apple_Black_rot/image (102).JPG,Apple_Black_rot,train
Apple_Black_rot/image (103).JPG,Apple_Black_rot,train
Apple_Black_rot/image (104).JPG,Apple_Black_rot,train
Apple_Black_rot/image (105).JPG,Apple_Black_rot,train
Apple_Black_rot/image (106).JPG,Apple_Black_rot,train
Apple_Black_rot/image (107).JPG,Apple_Black_rot,train
Apple_Black_rot/image (108).JPG,Apple_Black_rot,train
Apple_Black_rot/image (109).JPG,Apple_Black_rot,train
Apple_Black_rot/image (110).JPG,Apple_Black_rot,train
Apple_Black_rot/image (113).JPG,Apple_Black_rot,train
Apple_Black_rot/image (114).JPG,Apple_Black_rot,train
Apple_Black_rot/image (116).JPG,Apple_Black_rot,train
Apple_Black_rot/image (117).JPG,Apple_Black_rot,train
Apple_Black_rot/image (12).JPG,Apple_Black_rot,train
Apple_Black_rot/image (121).JPG,Apple_Black_rot,train
Apple_Black_rot/image (122).JPG,Apple_Black_rot,train
Apple_Black_rot/image (123).JPG,Apple_Black_rot,train
Apple_Black_rot/image (124).JPG,Apple_Black_rot,train
Apple_Black_rot/image (125).JPG,Apple_Black_rot,train
Apple_Black_rot/image (126).JPG,Apple_Black_rot,train
Apple_Black_rot/image (127).JPG,Apple_Black_rot,train
Apple_Black_rot/image (128).JPG,Apple_Black_rot,train
Apple_Black_rot/image (129).JPG,Apple_Black_rot,train
Apple_Black_rot/image (13).JPG,Apple_Black_rot,train
Apple_Black_rot/image (130).JPG,Apple_Black_rot,train
Apple_Black_rot/image (131).JPG,Apple_Black_rot,train
Apple_Black_rot/image (132).JPG,Apple_Black_rot,train
Apple_Black_rot/image (133).JPG,Apple_Black_rot,train
Apple_Black_rot/image (134).JPG,Apple_Black_rot,train
Apple_Black_rot/image (135).JPG,Apple_Black_rot,train
Apple_Black_rot/image (136).JPG,Apple_Black_rot,train
Apple_Black_rot/image (138).JPG,Apple_Black_rot,train
Apple_Black_rot/image (139).JPG,Apple_Black_rot,train
Apple_Black_rot/image (14).JPG,Apple_Black_rot,train
Apple_Black_rot/image (140).JPG,Apple_Black_rot,train
Apple_Black_rot/image (141).JPG,Apple_Black_rot,train
Apple_Black_rot/image (142).JPG,Apple_Black_rot,train
Apple_Black_rot/image (143).JPG,Apple_Black_rot,train
Apple_Black_rot/image (144).JPG,Apple_Black_rot,train
Apple_Black_rot/image (145).JPG,Apple_Black_rot,train
Apple_Black_rot/image (146).JPG,Apple_Black_rot,train
Apple_Black_rot/image (147).JPG,Apple_Black_rot,train
Apple_Black_rot/image (148).JPG,Apple_Black_rot,train
Apple_Black_rot/image (149).JPG,Apple_Black_rot,train
Apple_Black_rot/image (15).JPG,Apple_Black_rot,train
Apple_Black_rot/image (150).JPG,Apple_Black_rot,train
Apple_Black_rot/image (151).JPG,Apple_Black_rot,train
Apple_Black_rot/image (153).JPG,Apple_Black_rot,train
Apple_Black_rot/image (154).JPG,Apple_Black_rot,train
Apple_Black_rot/image (156).JPG,Apple_Black_rot,train
Apple_Black_rot/image (157).JPG,Apple_Black_rot,train
Apple_Black_rot/image (158).JPG,Apple_Black_rot,train
Apple_Black_rot/image (159).JPG,Apple_Black_rot,train
Apple_Black_rot/image (16).JPG,Apple_Black_rot,train
Apple_Black_rot/image (160).JPG,Apple_Black_rot,train
Apple_Black_rot/image (161).JPG,Apple_Black_rot,train
Apple_Black_rot/image (162).JPG,Apple_Black_rot,train
Apple_Black_rot/image (163).JPG,Apple_Black_rot,train
Apple_Black_rot/image (164).JPG,Apple_Black_rot,train
Apple_Black_rot/image (165).JPG,Apple_Black_rot,train
Apple_Black_rot/image (17).JPG,Apple_Black_rot,train
